item_index,asin
783,B00003CXFU
1068,B00168OIIU
1280,B00Q3F0GG4
186,6301966554
985,B0007ICRF6
1057,B000Y5JFNY
937,B00006LSJI
172,6301666569
303,6303471048
1194,B00AT6NUN4
115,1572522747
1145,B0050MB5JI
1016,B000E372ZY
553,6305128960
654,630574999X
1134,B004EPYZXK
175,6301773551
53,0788812262
34,0783225857
996,B0009KQPAK
1159,B005S9ELM6
1101,B0026ZQJT8
456,6304342470
222,6302685141
1156,B005LAII3U
982,B00076SCPW
1313,B014AGF6RG
235,6302921384
566,6305230226
1288,B00UUOVPMS
1079,B001CR49HA
238,6302994063
5,076780192X
523,6304844948
241,6303012140
144,6300214680
1000,B000A2WP7O
500,6304612982
318,6303599109
575,6305252599
598,6305428115
498,6304610394
1281,B00Q3F0ITO
1018,B000E5KJDE
1044,B000MGB6N2
738,B00000ILEA
611,6305470448
1042,B000LW7N6G
201,6302238331
51,0784011648
336,6303824382
1064,B0013N7FZ6
37,0783226993
1242,B00IF8Q8XC
1113,B002M9FXVS
651,6305730997
1232,B00G4SHX6G
36,078322687X
969,B0001PKFLS
1268,B00NW0OLZ0
882,B0000584ZH
539,6305034397
837,B00004UEDQ
586,6305310351
664,630580706X
1065,B0014C2FX8
1163,B006WK4YB8
1155,B005LAIHQS
458,6304353634
1196,B00B1HHL94
80,0790757354
85,0792157850
15,0767824571
1119,B002ZG98LO
977,B0002WYTWG
57,0788832492
220,6302662745
23,0780620372
479,6304438192
1278,B00PMCYZ1G
625,6305570051
529,6304938713
899,B00005JH9F
801,B00003CXLM
637,6305627401
435,6304216939
597,6305428093
1070,B0017HRJ04
393,6304039166
997,B0009UZGM8
862,B000050IMV
971,B00022PZ1A
712,6306012052
599,6305428220
711,6306011005
55,0788814664
690,630589423X
952,B00008NGDS
715,B000005QLO
319,6303614353
769,B00002SSKW
1053,B000TXPXC8
114,1572522178
979,B00062IXHO
351,6303924891
26,0780622677
562,6305191883
570,6305240663
212,6302450187
87,0792165039
764,B00002EQ0I
17,0767836359
108,1558908382
1021,B000EQ5V04
526,6304879482
75,0790743213
7,0767805712
33,078322561X
930,B000068DBD
779,B00003CX73
1076,B001B7CNXS
122,1573624365
494,6304578482
346,6303909000
733,B00000IC7G
901,B00005JLZK
603,6305428298
792,B00003CXJ1
