item_index,asin,title,image_url
783,B00003CXFU,Erin Brockovich (2000),https://m.media-amazon.com/images/M/MV5BZTNkNzkzYTEtYTJkMC00MTNkLWE0YjMtOGYxNGI0ODNiMzIwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1068,B00168OIIU,"Bug's Life, A (1998)",https://images-na.ssl-images-amazon.com/images/I/51hXqlc9fkL.jpg
1280,B00Q3F0GG4,"Princess Bride, The (1987)",https://m.media-amazon.com/images/M/MV5BMjFiOTEyNGMtN2E4MC00ZjZlLTk3ZDQtNTU1ZGNiZTA1MzJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
186,6301966554,"Christmas Story, A (1983)",https://m.media-amazon.com/images/M/MV5BZWZhYzI1YjktYzJjYy00NjIwLWE0MGItNWM4YWM2ZjFkNGM0XkEyXkFqcGc@._V1_.jpg
985,B0007ICRF6,"Wizard of Oz, The (1939)",https://images-na.ssl-images-amazon.com/images/I/514biG-3%2BiL.jpg
1057,B000Y5JFNY,"Sound of Music, The (1965)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsDSAK2vbvhojxoONFPxYjkDyMpPAwrElbQA&s
937,B00006LSJI,Airplane! (1980),https://m.media-amazon.com/images/M/MV5BNGMxMDRhMjItMDNlZi00MDIzLWE5MDQtODljMDQ3MWM1Y2E4XkEyXkFqcGc@._V1_.jpg
172,6301666569,Back to the Future (1985),https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg
303,6303471048,Pocahontas (1995),https://m.media-amazon.com/images/M/MV5BY2ZlNTUxM2MtYmJhYS00Y2E5LTlmYTItZDhlNWJmMmRiYTYzXkEyXkFqcGc@._V1_.jpg
1194,B00AT6NUN4,E.T. the Extra-Terrestrial (1982),https://m.media-amazon.com/images/M/MV5BYTNhNmY0YWMtMTczYi00MTA0LThhMmUtMTIxYzE0Y2QwMzRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
115,1572522747,Ponette (1996),https://m.media-amazon.com/images/M/MV5BZTc5YjBkOGUtMTQ5YS00YzQyLWJkM2UtODA5YjY1YjgwNGM1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
1145,B0050MB5JI,Antz (1998),https://m.media-amazon.com/images/M/MV5BYzdlMzZhZjctY2JjYy00OGRiLThjMTEtODRmZTg2ZjI5MjEzXkEyXkFqcGc@._V1_.jpg
1016,B000E372ZY,Hercules (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlPnFjcv2H9hXlEECPLzG8UeFAL__7P_xPZQ&s
553,6305128960,"Last Days of Disco, The (1998)",https://m.media-amazon.com/images/M/MV5BMzIwNDllZDktYzIzMi00NTJhLTk5NzctMDc4MzJjY2QxNTcwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
