item_index,asin,title
783,B00003CXFU,Erin Brockovich (2000)
1068,B00168OIIU,"Bug's Life, A (1998)"
1280,B00Q3F0GG4,"Princess Bride, The (1987)"
186,6301966554,"Christmas Story, A (1983)"
985,B0007ICRF6,"Wizard of Oz, The (1939)"
1057,B000Y5JFNY,"Sound of Music, The (1965)"
937,B00006LSJI,Airplane! (1980)
172,6301666569,Back to the Future (1985)
303,6303471048,Pocahontas (1995)
1194,B00AT6NUN4,E.T. the Extra-Terrestrial (1982)
115,1572522747,Ponette (1996)
1145,B0050MB5JI,Antz (1998)
1016,B000E372ZY,Hercules (1997)
553,6305128960,"Last Days of Disco, The (1998)"
654,630574999X,"Sixth Sense, The (1999)"
1134,B004EPYZXK,Apollo 13 (1995)
175,6301773551,Star Wars: Episode IV - A New Hope (1977)
53,0788812262,Mary Poppins (1964)
34,0783225857,To Kill a Mockingbird (1962)
996,B0009KQPAK,"Secret Garden, The (1993)"
1159,B005S9ELM6,Fargo (1996)
1101,B0026ZQJT8,"Verdict, The (1982)"
456,6304342470,Courage Under Fire (1996)
222,6302685141,Rebel Without a Cause (1955)
1156,B005LAII3U,Total Recall (1990)
982,B00076SCPW,Star Wars: Episode VI - Return of the Jedi (1983)
1313,B014AGF6RG,GoodFellas (1990)
235,6302921384,Cliffhanger (1993)
566,6305230226,Snake Eyes (1998)
1288,B00UUOVPMS,"Fisher King, The (1991)"
1079,B001CR49HA,Mister Roberts (1955)
238,6302994063,Strictly Ballroom (1992)
5,076780192X,Close Encounters of the Third Kind (1977)
523,6304844948,Alien: Resurrection (1997)
241,6303012140,Demolition Man (1993)
144,6300214680,Children of a Lesser God (1986)
1000,B000A2WP7O,"Last of the Mohicans, The (1992)"
500,6304612982,Prefontaine (1997)
318,6303599109,Doctor Zhivago (1965)
575,6305252599,Star Trek VI: The Undiscovered Country (1991)
598,6305428115,Enemy of the State (1998)
498,6304610394,"Thin Red Line, The (1998)"
1281,B00Q3F0ITO,Dances with Wolves (1990)
1018,B000E5KJDE,Twister (1996)
1044,B000MGB6N2,"Silence of the Lambs, The (1991)"
738,B00000ILEA,Waking Ned Devine (1998)
611,6305470448,Shakespeare in Love (1998)
1042,B000LW7N6G,Serpico (1973)
201,6302238331,"French Connection, The (1971)"
51,0784011648,On Golden Pond (1981)
336,6303824382,Die Hard: With a Vengeance (1995)
1064,B0013N7FZ6,Gone with the Wind (1939)
37,0783226993,"Getaway, The (1994)"
1242,B00IF8Q8XC,Mr. Jones (1993)
1113,B002M9FXVS,Spartacus (1960)
651,6305730997,Indochine (1992)
1232,B00G4SHX6G,"Shawshank Redemption, The (1994)"
36,078322687X,"Breakfast Club, The (1985)"
969,B0001PKFLS,"Man with the Golden Arm, The (1955)"
1268,B00NW0OLZ0,Forrest Gump (1994)
882,B0000584ZH,Nurse Betty (2000)
539,6305034397,"Graduate, The (1967)"
837,B00004UEDQ,28 Days (2000)
586,6305310351,"Golden Child, The (1986)"
664,630580706X,Being John Malkovich (1999)
1065,B0014C2FX8,Indiana Jones and the Last Crusade (1989)
1163,B006WK4YB8,Dragonheart (1996)
1155,B005LAIHQS,Men in Black (1997)
458,6304353634,"Ghost and the Darkness, The (1996)"
1196,B00B1HHL94,Butch Cassidy and the Sundance Kid (1969)
80,0790757354,Blazing Saddles (1974)
85,0792157850,Indiana Jones and the Temple of Doom (1984)
15,0767824571,Monty Python and the Holy Grail (1974)
