movieId,movielens_title,amazon_title,score,asin
1193,One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest,100.0,B001KN8WJ2
914,My Fair Lady (1964),My Fair Lidy,91.66666666666666,B00IO5G5PM
3408,Erin Brockovich (2000),Erin Brockovich VHS,92.94117647058823,B00003CXFU
2355,"Bug's Life, A (1998)",A Bug's Life,96.0,B00168OIIU
1197,"Princess Bride, The (1987)","Princess Bride, The",100.0,B00Q3F0GG4
2804,"Christmas Story, A (1983)",A Christmas Story VHS,91.3312693498452,6301966554
919,"Wizard of Oz, The (1939)",The Wizard Of OZ,94.28571428571429,B0007ICRF6
595,Beauty and the Beast (1991),Beauty and the Beast,100.0,B00BGI0AAA
2398,Miracle on 34th Street (1947),Miracle on 34th Street,100.0,B001EASNPY
1035,"Sound of Music, The (1965)",The Sound of Music,95.0,B000Y5JFNY
2791,Airplane! (1980),Airplane!,100.0,B00006LSJI
2687,Tarzan (1999),Tarzan,100.0,B007453GYG
3105,Awakenings (1990),Awakening,96.84210526315789,B001CDR1EW
1270,Back to the Future (1985),Back to the Future 2 VHS,91.42857142857143,6301666569
2340,Meet Joe Black (1998),Meet Joe Black,100.0,B0007NZS4S
48,Pocahontas (1995),Pocahontas VHS,90.0,6303471048
1097,E.T. the Extra-Terrestrial (1982),E.T.: The Extra-Terrestrial,100.0,B00AT6NUN4
1721,Titanic (1997),Titanic,100.0,B0074JOCMC
1545,Ponette (1996),Ponette,100.0,1572522747
2294,Antz (1998),Gantz,93.33333333333333,B0050MB5JI
1566,Hercules (1997),HERCULES,100.0,B000E372ZY
588,Aladdin (1992),Aladdin,100.0,B01A9QY5TG
1907,Mulan (1998),Mulan,100.0,6305701369
783,"Hunchback of Notre Dame, The (1996)",The Hunchback of Notre Dame,96.80000000000001,B001CZJOWW
1836,"Last Days of Disco, The (1998)",The Last Days of Disco VHS,91.36363636363636,6305128960
1022,Cinderella (1950),Cinderella,100.0,B0142WJ08O
2762,"Sixth Sense, The (1999)",THE SIXTH SENSE,93.84615384615384,630574999X
150,Apollo 13 (1995),Apollo 18,90.98039215686273,B004EPYZXK
1,Toy Story (1995),Toy Story,100.0,B00004YMRX
260,Star Wars: Episode IV - A New Hope (1977),"Star Wars - Episode IV, A New Hope VHS",96.36363636363636,6301773551
1028,Mary Poppins (1964),Mary Poppins VHS,91.42857142857143,0788812262
1207,To Kill a Mockingbird (1962),To Kill a Mockingbird,100.0,0783225857
2028,Saving Private Ryan (1998),Saving Private Ryan,100.0,B000CCKW9K
531,"Secret Garden, The (1993)",The Secret Garden,94.66666666666667,B0009KQPAK
3114,Toy Story 2 (1999),Toy Story,94.0,B00004YMRX
608,Fargo (1996),Argo,93.33333333333333,B005S9ELM6
1357,Shine (1996),Shine,100.0,B000065KBV
3068,"Verdict, The (1982)",The Verdict,91.11111111111111,B0026ZQJT8
647,Courage Under Fire (1996),Courage Under Fire VHS,94.0,6304342470
648,Mission: Impossible (1996),Mission Impossible VHS,94.0,630420065X
1103,Rebel Without a Cause (1955),Rebel Without a Cause VHS,94.78260869565219,6302685141
2916,Total Recall (1990),Total Recall,100.0,B005LAII3U
1210,Star Wars: Episode VI - Return of the Jedi (1983),"Star Wars, Episode VI: Return of the Jedi",100.0,B00076SCPW
1213,GoodFellas (1990),Goodfellas,100.0,B014AGF6RG
3578,Gladiator (2000),Gladiators,96.84210526315789,B000A8AX36
2881,Double Jeopardy (1999),Double Jeopardy,100.0,B001AL0N46
1217,Ran (1985),Rang,91.42857142857143,B000LXGVUE
434,Cliffhanger (1993),Cliffhanger VHS,90.76923076923077,6302921384
2126,Snake Eyes (1998),Snake Eyes VHS,90.0,6305230226
3108,"Fisher King, The (1991)",The Fisher King,93.84615384615384,B00UUOVPMS
3035,Mister Roberts (1955),MISTER ROBERTS,100.0,B001CR49HA
